target word	tagger tag	tokens
absolute	A	1
academic	A	2
actively	R	1
aggressive	A	1
apparently	R	1
automatic	A	1
awful	A	1
bad	A	49
badly	A	1
beautiful	A	1
biological	R	1
calm	A	1
childish	A	1
clean	A	2
clear	A	1
close	A	14
close	R	5
comfortable	A	2
competitive	R	1
consistent	A	1
cool	A	1
crazy	A	9
cute	A	1
dangerous	A	1
deep	A	3
different	A	39
direct	A	2
dirty	A	1
easily	R	2
equal	A	1
especially	A	1
exact	A	1
excellent	A	1
fabulous	A	1
fair	A	1
federal	R	1
flat	A	1
free	A	2
fresh	A	3
funny	A	7
gladly	R	1
good	A	77
great	A	4
healthy	A	6
heavy	A	5
human	R	1
largely	R	1
last	A	5
last	R	2
literally	A	1
local	A	1
loose	A	1
loud	A	12
loyal	R	1
mad	A	1
manifest	A	1
mean	A	1
mighty	R	1
mischievous	A	1
naive	A	1
natural	A	3
neat	A	2
negative	A	1
nice	A	19
nutty	A	1
particular	A	1
plain	A	1
predominantly	A	1
private	A	1
probably	A	2
proper	A	9
punctual	A	1
quick	A	31
quick	R	1
quiet	A	1
racial	A	1
real	A	182
real	R	3
really	A	1
really	R	1
regular	A	2
regular	R	1
rough	A	1
safe	A	3
second	A	1
separate	A	1
serious	A	7
seventh	R	1
slick	A	2
slow	A	3
smart	A	1
soft	A	3
solid	A	1
specifically	A	1
steady	A	1
stocky	A	1
strong	A	2
strongly	R	1
stupid	A	3
subtle	R	1
supposedly	R	1
sure	A	70
sure	R	3
sweet	A	1
tight	A	9
total	A	5
true	A	1
typically	R	1
usual	A	1
usually	A	1
weird	A	2
well	A	67
well	R	2
wide	A	1
widely	A	1
wonderful	A	1
